Date,Relative Change (m)
1988.515625,0.0460750853242319
1988.4296875, 0.022184300341296925
1988.38671875,-0.0255972696245734
1988.6015625,-1.23208191126279
1989.33203125, 0.2849829351535835
1989.33203125,-0.037542662116041
1989.375,0.0341296928327645
1989.4609375,0.069965870307167
1989.546875, 0.058020477815699634
1989.6328125,0.0341296928327645
1989.67578125, 0.010238907849829282
1989.58984375,-0.037542662116041
1990.4921875, 0.010238907849829282
1990.40625, 0.3447098976109213
1990.578125,0.0819112627986347
1990.62109375,0.0819112627986347
1990.62109375,-0.0614334470989761
1991.56640625,0.0460750853242319
1991.609375,-3.27474402730375
1991.48046875,-0.503412969283276
1992.33984375,-0.109215017064846
1992.3828125,-0.0494880546075087
1992.5546875, 0.058020477815699634
1993.45703125, 0.24914675767918082
1993.5859375, 0.4402730375426619
1993.5,-0.0494880546075087
1994.359375,-0.180887372013651
1994.40234375,0.0341296928327645
1994.4453125, 0.058020477815699634
1994.48828125, 0.058020477815699634
1994.53125, 0.022184300341296925
1994.66015625,0.0341296928327645
1994.6171875,-0.551194539249146
1995.5625, 0.2849829351535835
1995.6484375, 0.058020477815699634
1998.26953125, 0.6313993174061432
1998.3125, 0.12969283276450505
1998.26953125,-0.109215017064846
1998.5703125,-0.694539249146757
1999.515625, 0.2133105802047781
1999.55859375,-0.0255972696245734
2000.41796875, 0.23720136518771318
2000.50390625,0.0341296928327645
2000.4609375,-0.037542662116041
2001.44921875,-0.121160409556314
2002.56640625, 0.12969283276450505
2002.5234375,-0.0255972696245734
2003.5546875,0.0460750853242319
2003.51171875,-0.204778156996587
2004.54296875,0.0819112627986347
2004.5,0.0460750853242319
2004.45703125,0.0341296928327645
2004.54296875,-0.0614334470989761
2004.45703125,-0.252559726962457
2006.51953125, 0.42832764505119436
2006.60546875, 0.1416382252559727
2007.55078125,0.0938566552901023
2007.46484375, 0.058020477815699634
2007.55078125,-0.0494880546075087
2007.5078125,-0.360068259385665
2007.421875,-0.300341296928327
2009.44140625, 0.18941979522184282
2009.52734375,0.069965870307167
2009.484375,-0.037542662116041
2009.52734375,-0.109215017064846
2009.61328125,-0.407849829351535
2013.48046875, 0.4044368600682592
2013.56640625,0.0938566552901023
2013.5234375,-0.0614334470989761
2013.5234375,0.0819112627986347
2013.6953125,0.0460750853242319
2013.65234375,-0.037542662116041
2013.73828125,-0.0614334470989761
2014.25390625, 0.12969283276450505
2014.296875, 0.022184300341296925
2014.3828125,0.0341296928327645
2014.51171875,0.0341296928327645
2014.5546875, 0.022184300341296925
2014.51171875,-0.0255972696245734
2014.59765625,-0.515358361774743
2014.640625,-0.121160409556314
2014.68359375,-0.133105802047781
2014.59765625,0.0460750853242319
2014.68359375, 0.10580204778156976
2014.7265625,-0.0255972696245734
2015.2421875, 0.15358361774744012
2015.328125,0.0460750853242319
2015.37109375,0.0341296928327645
2015.4140625,-0.037542662116041
2015.37109375,-0.037542662116041
2015.28515625,-0.0614334470989761
2015.5,0.0938566552901023
2015.62890625,-0.0494880546075087
2015.62890625,0.0460750853242319
2015.671875, 0.058020477815699634
2015.671875,-0.037542662116041
2015.71484375, 0.058020477815699634
2016.23046875, 0.1774744027303754
2016.2734375,-0.0255972696245734
2016.31640625,-0.037542662116041
2016.40234375,-0.0494880546075087
2016.40234375,0.0460750853242319
2016.4453125,0.0341296928327645
2016.48828125,-0.0255972696245734
2016.53125,0.0341296928327645
2016.57421875,0.0341296928327645
2016.6171875,0.0341296928327645
2016.6171875,-0.0255972696245734
2016.703125,-0.037542662116041
2016.703125,0.0460750853242319
2016.74609375, 0.022184300341296925
2017.21875, 0.10580204778156976
2017.3046875,0.0341296928327645
2017.390625, 0.022184300341296925
2017.34765625,-0.0255972696245734
2017.26171875,-0.0136518771331057
2017.4765625,0.0341296928327645
2017.5625,0.0341296928327645
2017.6484375,0.0460750853242319
2017.734375,0.0341296928327645
2017.734375, 0.010238907849829282
2017.69140625,-0.0255972696245734
2017.6484375,-0.0255972696245734
2017.51953125,-0.037542662116041
2018.20703125, 0.12969283276450505
2018.29296875,0.0341296928327645
2018.29296875,-0.037542662116041
2018.20703125,-0.037542662116041
2018.37890625, 0.022184300341296925
2018.421875,0.069965870307167
2018.5078125,0.0341296928327645
2018.46484375,-0.0614334470989761
2018.5078125,-0.037542662116041
2018.63671875,-0.037542662116041
2018.55078125,-0.0255972696245734
2018.59375,-0.0255972696245734
2018.55078125,0.0460750853242319
2018.59375,0.0341296928327645
2018.63671875, 0.022184300341296925
2018.6796875,0.0341296928327645
2018.72265625,-0.0614334470989761
2018.6796875,-1.44709897610921
2019.1953125, 0.20136518771331047
2019.32421875,0.069965870307167
2019.28125,-0.0614334470989761
2019.3671875,-0.0494880546075087
2019.3671875,0.0341296928327645
2019.453125,0.0460750853242319
2019.49609375,0.0938566552901023
2019.58203125,0.0460750853242319
2019.66796875,0.0341296928327645
2019.5390625,-0.0972696245733788
2019.58203125,-0.300341296928327
2019.625,-0.145051194539249
2019.7109375,-0.754266211604095
2020.18359375,0.0460750853242319
2020.2265625,0.0819112627986347
2020.3125,0.0460750853242319
2020.3984375, 0.022184300341296925
2020.35546875,-0.037542662116041
2020.26953125,-0.0494880546075087